source	version	scope	expected_input	url
JASPAR	2024	human TF sequence-linked PWM records	UniProt-keyed JSON export	https://jaspar.elixir.no/
Cis-BP	2.00	sequence-linked TF motifs	CisBP_2.00.all.motifs.sql;CisBP_2.00.all.proteins.sql	http://cisbp.ccbr.utoronto.ca/
HOCOMOCO	11	human CORE mononucleotide models	HOCOMOCOv11_core_annotation_HUMAN_mono.tsv;human TF FASTA	https://hocomoco11.autosome.org/
Codebook	2026 final publication	177 Codebook TF experimental PWMs; 1,639-row human TF census	Supplementary Tables 1-4 and 14; Cis-BP study Jolma2026a	https://doi.org/10.1038/s41586-026-10798-9
UniProtKB	2026_03	human accession and sequence crosswalk for the TF query catalogue	UniProt REST TSV export	https://rest.uniprot.org/
